Freq (MHz),re(S11),im(S11),re(Z),im(Z)
28.200,0.90815,0.29375,46.967,310.108
28.250,0.90701,0.29323,48.270,309.866
28.300,0.90801,0.29400,46.938,309.802
28.350,0.90827,0.29378,46.844,310.151
28.400,0.90946,0.29129,47.304,313.060
28.450,0.90843,0.28957,49.277,313.944
28.500,0.90939,0.28921,48.643,314.864
28.550,0.90871,0.29025,48.603,313.516
28.600,0.91080,0.28852,47.806,316.356
28.650,0.90950,0.28543,50.942,318.344
28.700,0.91009,0.28489,50.745,319.215
28.750,0.91114,0.28490,49.772,319.884
28.800,0.91095,0.28414,50.440,320.465
28.850,0.91201,0.28257,50.455,322.608
28.900,0.91218,0.28098,51.335,324.228
28.950,0.91186,0.28151,51.291,323.515
29.000,0.91269,0.28112,50.761,324.426
29.050,0.91251,0.27956,51.964,325.796
29.100,0.91383,0.27718,52.275,328.976
29.150,0.91427,0.27615,52.540,330.285
29.200,0.91396,0.27634,52.711,329.893
29.250,0.91443,0.27675,51.971,329.806
29.300,0.91413,0.27395,54.176,332.373
29.350,0.91414,0.27125,56.068,335.093
29.400,0.91409,0.27200,55.589,334.294
29.450,0.91574,0.27206,53.882,335.396
29.500,0.91508,0.27179,54.727,335.205
29.550,0.91492,0.26861,57.161,338.341
29.600,0.91529,0.26716,57.842,340.113
29.650,0.91574,0.26737,57.222,340.223
29.700,0.91554,0.26732,57.462,340.125
29.750,0.91722,0.26672,56.140,341.979
29.800,0.91779,0.26348,57.913,345.863
29.850,0.91803,0.26347,57.664,346.054
29.900,0.91706,0.26346,58.716,345.345
29.950,0.91768,0.26394,57.685,345.284
30.000,0.91821,0.26153,58.928,348.299
